symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFCSML250,INF179KC1FB2,2024-08-05,NSE,EQ,EQ,buy,false,2.000000,170.300000,208563926,1100000039455884,2024-08-05T11:32:27
JUNIORBEES,INF732E01045,2024-08-05,NSE,EQ,EQ,buy,false,1.000000,753.600000,408469679,1200000039961595,2024-08-05T11:32:43
MAFANG,INF769K01HF4,2024-08-05,BSE,EQ,B,buy,false,4.000000,92.800000,18043000,1722836004918574651,2024-08-05T11:33:01
NIFTYBEES,INF204KB14I2,2024-08-09,NSE,EQ,EQ,buy,false,20.000000,271.450000,403086404,1200000017373527,2024-08-09T10:30:01
MON100,INF247L01AP3,2024-08-09,NSE,EQ,EQ,buy,false,10.000000,150.860000,403086405,1200000017373528,2024-08-09T10:30:01
GOLDBEES,INF204KB17I5,2024-08-09,NSE,EQ,EQ,buy,false,10.000000,58.570000,202946930,1100000017090027,2024-08-09T10:30:01
JUNIORBEES,INF732E01045,2024-08-09,NSE,EQ,EQ,buy,false,3.000000,772.130000,403086403,1200000017373523,2024-08-09T10:30:01
ITBEES,INF204KB15V2,2024-09-05,NSE,EQ,EQ,buy,false,1.000000,45.470000,409834849,1200000050354038,2024-09-05T14:45:36
SILVERBEES,INF204KC1402,2024-09-09,NSE,EQ,EQ,buy,false,1.000000,79.330000,406613173,1200000039327208,2024-09-09T12:21:58
JUNIORBEES,INF732E01045,2024-09-09,NSE,EQ,EQ,buy,false,3.000000,791.660000,408030982,1200000048420126,2024-09-09T13:30:01
GOLDBEES,INF204KB17I5,2024-09-09,NSE,EQ,EQ,buy,false,10.000000,60.090000,207224022,1100000044195623,2024-09-09T13:30:01
NIFTYBEES,INF204KB14I2,2024-09-09,NSE,EQ,EQ,buy,false,20.000000,277.490000,408030980,1200000048420124,2024-09-09T13:30:01
MON100,INF247L01AP3,2024-09-09,NSE,EQ,EQ,buy,false,15.000000,153.290000,408030981,1200000048420125,2024-09-09T13:30:01
MIDCAPETF,INF769K01IC9,2024-09-10,NSE,EQ,EQ,buy,false,1.000000,22.050000,403931264,1200000020991003,2024-09-10T10:48:24
MOM30IETF,INF109KC17C7,2024-09-16,NSE,EQ,EQ,buy,false,1.000000,37.280000,205211800,1100000032121629,2024-09-16T12:33:24
MON100,INF247L01AP3,2024-09-17,NSE,EQ,EQ,buy,false,1.000000,158.180000,403935643,1200000023012065,2024-09-17T11:00:49
ITBEES,INF204KB15V2,2024-09-18,NSE,EQ,EQ,buy,false,1.000000,45.060000,406254768,1200000039604516,2024-09-18T12:43:19
BANKBEES,INF204KB15I9,2024-09-27,BSE,EQ,B,buy,false,1.000000,553.530000,5752700,1727426053163131492,2024-09-27T14:23:03
HDFCSML250,INF179KC1FB2,2024-10-01,BSE,EQ,B,buy,false,20.000000,186.300000,14939000,1727770396164481069,2024-10-01T15:13:02
MIDCAPETF,INF769K01IC9,2024-10-03,NSE,EQ,EQ,buy,false,50.000000,22.330000,406597143,1200000034373164,2024-10-03T12:03:49
HDFCSML250,INF179KC1FB2,2024-10-03,NSE,EQ,EQ,buy,false,30.000000,183.800000,206016024,1100000032219556,2024-10-03T12:10:52
MON100,INF247L01AP3,2024-10-03,NSE,EQ,EQ,buy,false,15.000000,162.200000,407603319,1200000035263940,2024-10-03T12:11:47
NIFTYBEES,INF204KB14I2,2024-10-03,BSE,EQ,B,buy,false,25.000000,284.000000,10815900,1727932782649556884,2024-10-03T12:12:58
MOM30IETF,INF109KC17C7,2024-10-04,NSE,EQ,EQ,buy,false,10.000000,37.300000,207174602,1100000042976033,2024-10-04T13:11:28
NIFTYBEES,INF204KB14I2,2024-10-04,BSE,EQ,B,buy,false,15.000000,279.900000,12921500,1728027127911412290,2024-10-04T13:49:21
MIDCAPETF,INF769K01IC9,2024-10-04,BSE,EQ,B,buy,false,35.000000,22.020000,13725200,1728027127911451983,2024-10-04T13:51:38
MIDCAPETF,INF769K01IC9,2024-10-07,NSE,EQ,EQ,buy,false,100.000000,21.600000,407022029,1200000038552210,2024-10-07T11:44:43
NIFTYBEES,INF204KB14I2,2024-10-07,NSE,EQ,EQ,buy,false,20.000000,278.800000,407066854,1200000038750183,2024-10-07T11:45:50
HDFCSML250,INF179KC1FB2,2024-10-07,NSE,EQ,EQ,buy,false,20.000000,177.300000,206747951,1100000036742152,2024-10-07T11:47:07
BANKBEES,INF204KB15I9,2024-10-07,NSE,EQ,EQ,buy,false,2.000000,527.050000,5318124,1000000031769511,2024-10-07T11:48:11
NIFTYBEES,INF204KB14I2,2024-10-07,BSE,EQ,B,buy,false,10.000000,277.000000,15646200,1728288759253243255,2024-10-07T14:03:49
